# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.2.0
#@/tick	6492
#@/user_id	9dd1f55d-4634-4c50-b209-da3cd5d3a516
a 	啊	c=6 d=0.697676 t=6492
bao liu 	保留	c=3 d=1.07216 t=5272
bao mi 	保密	c=1 d=1 t=1850
bei 	唄	c=1 d=1 t=4923
bei 	被	c=19 d=1.00133 t=6447
bei jing 	北京	c=1 d=1 t=1802
bei jing 	背景	c=1 d=1 t=1679
bei si 	貝斯	c=1 d=1 t=1360
ben 	本	c=0 d=0.1 t=2574
ben ci 	本次	c=1 d=1 t=5093
ben wen dang 	本文檔	c=1 d=1 t=2575
bi 	比	c=3 d=2.07952 t=3539
bi 	畀	c=1 d=1 t=4730
bi 	臂	c=0 d=0.1 t=616
bi ji 	筆記	c=5 d=1.68578 t=6492
bi jiao 	比較	c=1 d=0.104724 t=4979
bi jiao cang cu 	比較倉促	c=1 d=1 t=4980
bi jiao duo 	比較多	c=1 d=1 t=898
bi li 	比例	c=1 d=0.101268 t=4562
bi mian 	避免	c=2 d=1 t=5528
bi ru 	比如	c=1 d=1 t=6102
bi ru shuo 	比如說	c=3 d=1.00242 t=6388
bi xu 	必須	c=3 d=1.65768 t=3252
bi xu you 	必須有	c=1 d=1 t=2413
bi yao 	必要	c=3 d=2.77631 t=2813
bi yao xiang 	必要項	c=1 d=1 t=2746
bi zhe 	筆者	c=2 d=1.00002 t=5077
bi zhe li jie 	筆者理解	c=1 d=1 t=3062
bi zhen 	逼真	c=1 d=1 t=2158
bian 	變	c=1 d=1 t=6464
bian 	邊	c=1 d=1.02997 t=959
bian chang 	邊長	c=2 d=1.00409 t=2112
bian cheng 	變成	c=1 d=1 t=2011
bian hua 	變化	c=5 d=3.424 t=5886
bian ji 	編輯	c=1 d=0.694197 t=6492
bian ji qi 	編輯器	c=1 d=1 t=6153
bian xing 	變形	c=1 d=1 t=3021
bian yi 	編譯	c=11 d=1.00159 t=6349
bian yi cheng gong 	編譯成功	c=1 d=1 t=291
bian yi hou 	編譯後	c=1 d=1 t=5128
bian yu 	便於	c=3 d=1.28942 t=3992
bian zuo 	邊做	c=0 d=0.1 t=718
bian zuo bian xue 	邊做邊學	c=1 d=1 t=719
biao 	標	c=1 d=1 t=3184
biao 	表	c=1 d=1 t=474
biao ge 	表格	c=2 d=1.01666 t=1323
biao ji 	標記	c=2 d=1.94176 t=3193
biao mian 	表面	c=3 d=1.00256 t=4632
biao shi 	表示	c=1 d=1.07118 t=6106
biao shi ma 	表示嗎	c=1 d=1 t=6039
biao zhun 	標準	c=6 d=5.33038 t=1652
bie de 	別的	c=1 d=1 t=4701
bie min 	別民	c=1 d=1 t=4620
bie ren 	別人	c=1 d=1 t=6055
bing 	並	c=2 d=1 t=3808
bing fang 	病房	c=1 d=1 t=541
bing jiang 	並將	c=1 d=1 t=276
bing qie 	並且	c=5 d=1.00014 t=5923
bing xuan ze 	並選擇	c=1 d=1 t=142
bing yu 	並與	c=1 d=1 t=765
bing zuo 	並作	c=1 d=1 t=5023
bo en si tan 	伯恩斯坦	c=1 d=1 t=3709
bo li 	玻璃	c=3 d=1.83318 t=4772
bo song 	泊松	c=2 d=1.99748 t=3538
bo song bi 	泊松比	c=3 d=1.1602 t=3540
bo wen 	博文	c=1 d=1 t=1664
bu 	不	c=3 d=0.101467 t=5617
bu 	補	c=1 d=1.0802 t=6117
bu bao han 	不包含	c=2 d=1 t=4847
bu bei 	不被	c=1 d=1 t=2309
bu chan sheng 	不產生	c=1 d=1 t=2987
bu chang 	步長	c=2 d=1.12369 t=3634
bu chong 	補充	c=3 d=1.98874 t=2717
bu cuo 	不錯	c=1 d=1 t=1787
bu da 	不大	c=1 d=1 t=5616
bu dao weng 	不倒翁	c=1 d=1 t=2012
bu duan 	不斷	c=2 d=1.96079 t=3451
bu dui 	不對	c=1 d=1 t=4527
bu fen 	部分	c=9 d=0.0895834 t=6492
bu feng 	布馮	c=1 d=1 t=170
bu gen 	不跟	c=0 d=0.1 t=4934
bu gen ju 	不跟據	c=1 d=1 t=4935
bu gou 	不夠	c=3 d=1.97533 t=4295
bu gui ze 	不規則	c=1 d=1 t=1595
bu guo 	不過	c=1 d=1 t=6426
bu hao 	不好	c=1 d=0.101756 t=4930
bu jian 	部件	c=4 d=1.70823 t=3881
bu ju you 	不具有	c=1 d=1 t=1107
bu ke yi 	不可以	c=0 d=0.1 t=6181
bu ke yi ba 	不可以吧	c=1 d=1 t=6182
bu kong ge 	補空格	c=1 d=1 t=6118
bu le 	不了	c=1 d=1.06805 t=6460
bu li xiang 	不理想	c=1 d=1 t=3728
bu liao jie 	不瞭解	c=1 d=1 t=1609
bu ming bai 	不明白	c=2 d=1.00277 t=5179
bu neng 	不能	c=19 d=1.37469 t=6479
bu quan 	補全	c=6 d=1.997 t=5368
bu que ding 	不確定	c=1 d=1 t=1847
bu shi 	不是	c=3 d=1.90937 t=6193
bu shu fu 	不舒服	c=1 d=1 t=4083
bu tai 	不太	c=1 d=1.00129 t=1897
bu tai dui 	不太對	c=1 d=1 t=1028
bu ti gong 	不提供	c=1 d=1 t=5618
bu tong 	不同	c=11 d=1.00983 t=5701
bu tong guo 	不通過	c=1 d=1 t=2522
bu tong xing zhuang 	不同形狀	c=1 d=1 t=836
bu wei 	不爲	c=2 d=1.46301 t=3164
bu xing 	不行	c=0 d=0.1 t=5840
bu xu yao 	不需要	c=1 d=1 t=825
bu yao 	不要	c=0 d=0.1 t=6373
bu yi yang 	不一樣	c=3 d=1.07104 t=5825
bu yong 	不用	c=1 d=0.1 t=6029
bu yong guan 	不用管	c=1 d=1 t=6030
bu zai 	不再	c=1 d=1 t=1881
bu zhi 	不知	c=1 d=1 t=227
bu zhi 	佈置	c=4 d=2.12274 t=2721
bu zhi dao 	不知道	c=6 d=1.16267 t=5645
bu zhi ding 	不指定	c=7 d=1.01871 t=4329
bu zou 	步驟	c=2 d=1.01448 t=945
bu zuo 	不做	c=1 d=1 t=1938
cai 	才	c=1 d=1 t=5716
cai hui 	纔會	c=1 d=1 t=378
cai ji 	採集	c=1 d=1 t=6075
cai liao 	材料	c=6 d=1.62537 t=3828
cai neng 	才能	c=1 d=1 t=6222
cai yong 	採用	c=3 d=1.00001 t=5530
cai zhi 	材質	c=15 d=2.26444 t=5980
cai zhi ma 	材質嗎	c=1 d=1 t=4454
cai zhi xin xi 	材質信息	c=1 d=1 t=5656
can jia 	參加	c=1 d=1 t=5787
can kao 	參考	c=10 d=1.00534 t=5154
can kao lai yuan 	參考來源	c=2 d=1.9802 t=3521
can kao lian jie 	參考鏈接	c=1 d=1 t=3681
can kao xia yi jie 	參考下一節	c=2 d=1 t=5515
can shu 	參數	c=37 d=1.15651 t=4740
can shu shu 	參數樹	c=1 d=1 t=2734
cang cu 	倉促	c=0 d=0.1 t=4979
cang ku 	倉庫	c=2 d=0.831104 t=6492
cao zuo 	操作	c=1 d=1 t=311
ce shi 	測試	c=1 d=1.08869 t=5049
ce shi ji 	測試幾	c=1 d=1 t=1156
cen 	岑	c=0 d=0.1 t=1966
cen tai er 	岑胎兒	c=1 d=1 t=1967
ceng 	層	c=1 d=1 t=3428
ceng ji 	層級	c=3 d=1.25429 t=3258
cha 	查	c=1 d=1 t=910
cha bu duo 	差不多	c=1 d=1 t=881
cha ji 	茶几	c=3 d=1.49218 t=4864
cha jian 	插件	c=35 d=1.26641 t=5810
cha kan 	查看	c=6 d=0.965605 t=6492
cha le 	查了	c=1 d=1 t=5710
cha ru 	插入	c=10 d=2.28151 t=5300
cha ru da liang 	插入大量	c=1 d=1 t=1455
cha shang 	插上	c=0 d=0.1 t=3576
cha su 	差速	c=2 d=1.50409 t=757
cha xia 	查下	c=1 d=1 t=5707
cha yue 	查閱	c=2 d=1.41271 t=579
chai fen 	拆分	c=1 d=0.94032 t=6429
chai fen le 	拆分了	c=1 d=1 t=6429
chai fen zhi hou 	拆分之後	c=1 d=1 t=6430
chan dong 	顫動	c=3 d=1.41735 t=3764
chan jian 	產檢	c=0 d=0.1 t=2321
chan jian jie kou 	產檢接口	c=1 d=1 t=2322
chan pin 	產品	c=4 d=2.15209 t=1619
chan sheng 	產生	c=0 d=0.1 t=2986
chang 	暢	c=1 d=1 t=584
chang 	長	c=2 d=0.100037 t=4627
chang fang ti 	長方體	c=7 d=1.00157 t=5088
chang jian 	常見	c=1 d=1 t=3507
chang jing 	場景	c=7 d=1.67938 t=5037
chang shi 	嘗試	c=6 d=0.168993 t=6386
chang shi yi xia 	嘗試一下	c=1 d=1 t=6387
chang shi yong 	嘗試用	c=1 d=1 t=4975
chang shi zhong 	嘗試中	c=1 d=1 t=1963
chang yong 	常用	c=1 d=1 t=948
chang you 	暢遊	c=1 d=1 t=1827
chao 	超	c=1 d=1 t=3403
che 	車	c=1 d=1 t=806
che la 	哆啦	c=0 d=0.1 t=1969
che la cu lve a ti ou niao 	哆啦粗略阿嚏鷗鳥	c=1 d=1 t=1970
chen chong yu 	陳崇雨	c=1 d=1 t=766
cheng 	稱	c=3 d=2.8329 t=1844
cheng du 	程度	c=2 d=1 t=5046
cheng fa 	乘法	c=1 d=1 t=1044
cheng gong 	成功	c=2 d=1 t=5245
cheng ji 	乘積	c=1 d=1 t=3603
cheng xian 	呈現	c=2 d=1.88692 t=201
cheng xu 	程序	c=2 d=1 t=4839
cheng yi 	乘以	c=1 d=1 t=1042
chi cun 	尺寸	c=3 d=2.12399 t=2713
chi fan 	吃飯	c=1 d=1 t=4672
chi xu 	持續	c=3 d=0.1 t=5558
chi xu geng xin 	持續更新	c=1 d=1 t=5559
chong 	崇	c=1 d=1 t=1305
chong gou 	重構	c=3 d=1.15968 t=4930
chong ming ming 	重命名	c=2 d=1 t=6380
chong qi 	重啓	c=1 d=1 t=2262
chong qing 	重慶	c=1 d=1 t=4177
chong tu 	衝突	c=2 d=1.96079 t=1131
chong xin 	重新	c=3 d=1.17375 t=4920
chong xin jian mo 	重新建模	c=1 d=1 t=3733
chong yu 	崇雨	c=5 d=1.00176 t=6124
chong zhuang 	重裝	c=1 d=1 t=229
chou kong 	抽空	c=1 d=1 t=3942
chu 	出	c=2 d=1.06891 t=4271
chu ban 	初版	c=5 d=1.97045 t=4965
chu bu 	初步	c=1 d=1 t=763
chu bu lai 	出不來	c=1 d=1 t=4402
chu fang 	廚房	c=3 d=1.84763 t=4563
chu fang mo xing ma 	廚房模型嗎	c=1 d=1 t=4564
chu fei 	除非	c=1 d=1 t=5621
chu lai 	出來	c=1 d=1 t=5818
chu li 	處理	c=1 d=1 t=3501
chu shi hua 	初始化	c=1 d=0.88692 t=6492
chu xian 	出現	c=4 d=1 t=5204
chuan gan qi 	傳感器	c=3 d=1.00003 t=2751
chuan shu 	傳輸	c=2 d=1.01318 t=5311
chuan shu wen jian 	傳輸文件	c=1 d=1 t=4408
chuang 	窗	c=1 d=1 t=1947
chuang jian 	創建	c=11 d=1.0022 t=5104
chuang kou 	窗口	c=3 d=0.374099 t=6218
chun 	純	c=1 d=1 t=1626
ci 	次	c=1 d=1 t=3707
ci 	此	c=14 d=0.927743 t=6492
ci chu 	此處	c=1 d=1 t=3356
ci chuang kou 	此窗口	c=1 d=1 t=5423
ci li 	此例	c=1 d=1 t=5491
ci lian jie 	此連接	c=1 d=1 t=1184
ci lian jie 	此鏈接	c=5 d=1.00009 t=5803
ci qian 	此前	c=1 d=1 t=1198
ci shi 	此時	c=6 d=1.00004 t=5140
ci shu 	次數	c=2 d=1.41686 t=3576
ci zhi 	次之	c=1 d=1 t=1877
ci zhi 	此值	c=1 d=1 t=2884
ci zhuan 	瓷磚	c=2 d=1 t=4661
cu lve 	粗略	c=0 d=0.118637 t=1969
cun 	村	c=0 d=0.1 t=1583
cuo 	錯	c=1 d=0.755784 t=6492
cuo le 	錯了	c=0 d=0.1 t=6455
cuo wu 	錯誤	c=1 d=0.774916 t=6492
da 	大	c=1 d=1 t=1904
da bao 	打包	c=1 d=1 t=6194
da bu fen 	大部分	c=2 d=1.00001 t=4217
da da 	大大	c=1 d=1 t=1559
da dao 	達到	c=4 d=2.06066 t=3592
da gai 	大概	c=0 d=0.150916 t=4830
da gai jiu 	大概就	c=1 d=1 t=4696
da gai zhe yang 	大概這樣	c=1 d=1 t=4831
da jian 	搭建	c=6 d=1.49219 t=1561
da kai 	打開	c=5 d=2.754 t=4643
da li shi 	大理石	c=1 d=1 t=3702
da liang 	大量	c=0 d=0.1 t=1454
da lu 	大陸	c=1 d=1 t=1577
da suan 	打算	c=2 d=0.32455 t=4480
da xiao 	大小	c=4 d=0.1 t=5883
da xue cheng 	大學城	c=0 d=0.1 t=1588
da yin chu lai 	打印出來	c=1 d=1 t=346
da yu 	大於	c=1 d=1 t=3254
dai 	帶	c=3 d=1.80709 t=1616
dai 	待	c=0 d=0.1 t=2200
dai ban shi xiang 	待辦事項	c=1 d=1 t=2201
dai ma 	代碼	c=16 d=1.3757 t=5653
dai ma ku 	代碼庫	c=1 d=1 t=440
dai ma liang 	代碼量	c=1 d=1 t=1490
dan 	但	c=9 d=1.37321 t=5762
dan bu fen 	但部分	c=1 d=1 t=1894
dan dian 	單點	c=0 d=0.1 t=4130
dan du 	單獨	c=2 d=1.67706 t=3878
dan ji 	單擊	c=1 d=1 t=118
dan kao 	單靠	c=1 d=1 t=1691
dan mai 	丹麥	c=1 d=0.860708 t=6492
dan shi 	但是	c=27 d=3.78619 t=6449
dan shi mei kai shi zuo 	但是沒開始做	c=1 d=1 t=6227
dan wei 	單位	c=9 d=1.90104 t=3545
dan wei le 	但爲了	c=1 d=1 t=5527
dan xi 	但系	c=1 d=1 t=965
dan ying yong 	但應用	c=1 d=1 t=1810
dan zai 	但在	c=1 d=1 t=1197
dang 	當	c=0 d=0.1 t=2286
dang qian 	當前	c=11 d=1.15121 t=5437
dang yi ge 	當一個	c=1 d=1 t=2287
dang yuan 	黨員	c=1 d=1 t=1571
dao 	到	c=9 d=1.00407 t=6160
dao chu 	導出	c=1 d=1 t=4145
dao di shi 	到底是	c=1 d=1 t=3718
dao ru 	導入	c=3 d=1.01841 t=6480
dao shi 	倒是	c=2 d=1.05843 t=1637
dao xiang 	導向	c=1 d=1 t=1272
dao zhi 	導致	c=2 d=1.00001 t=3456
de 	地	c=3 d=1.0067 t=2696
de 	得	c=3 d=1.00043 t=4270
de 	的	c=349 d=11.2733 t=6492
de an zhuang 	的安裝	c=1 d=1 t=4463
de chu 	得出	c=1 d=1 t=3785
de hua 	的話	c=3 d=1.99141 t=6462
de ma 	的嗎	c=1 d=0.100012 t=6469
de shi hou 	的時候	c=2 d=1.01068 t=5270
de shi hou yong 	的時候用	c=1 d=1 t=4787
de xiao guo 	的效果	c=1 d=1 t=4861
dei 	得	c=1 d=1 t=4085
deng 	等	c=7 d=1.0937 t=5035
deng dai 	等待	c=1 d=1 t=106
deng yu 	等於	c=1 d=1.00186 t=3844
di 	低	c=0 d=0.1 t=5035
di 	底	c=1 d=1 t=1797
di 	睇	c=1 d=1 t=4721
di ban 	地板	c=1 d=1 t=6408
di er 	第二	c=0 d=0.1 t=965
di er ge 	第二個	c=1 d=1 t=5201
di er jian 	第二件	c=1 d=1 t=966
di er jie 	第二節	c=1 d=1 t=525
di fang 	地方	c=1 d=1.00001 t=6004
di fang le 	地方了	c=1 d=1 t=4167
di mian 	地面	c=1 d=1 t=4710
di mian shang 	地面上	c=1 d=1 t=3641
di pan 	地盤	c=1 d=1 t=754
di pan 	底盤	c=1 d=1 t=762
di tie zhan 	地鐵站	c=1 d=1 t=1275
di tu 	地圖	c=0 d=0.1 t=1283
di tu shang 	地圖上	c=1 d=1 t=1284
di xiao 	抵消	c=2 d=1.99501 t=2033
di yi 	第一	c=0 d=0.1 t=962
di yi ci 	第一次	c=1 d=1 t=5273
di yi ge 	第一個	c=3 d=1.01958 t=4114
di yi jian 	第一件	c=1 d=1 t=963
di yi jie 	第一節	c=1 d=0.985112 t=6492
di yi tiao 	第一條	c=1 d=1 t=2102
di yu 	低於	c=2 d=1.97045 t=2883
di zuo 	底座	c=1 d=1 t=621
dia 	嗲	c=1 d=1 t=4744
dian 	點	c=4 d=0.170346 t=4664
dian nao 	電腦	c=1 d=1.05123 t=4725
dian su du 	點速度	c=1 d=1 t=3131
dian xing 	典型	c=1 d=1 t=3031
dian yun 	點雲	c=19 d=4.06357 t=6076
dian yun shu ju 	點雲數據	c=4 d=2.74132 t=5904
dian zi 	電子	c=0 d=0.1 t=1759
dian zi ka 	電子卡	c=1 d=1 t=1760
diao cha 	調查	c=3 d=1.42032 t=1680
diao yong 	調用	c=14 d=3.03035 t=6448
diao yong shi 	調用是	c=1 d=1 t=2391
die dai 	迭代	c=2 d=1.52429 t=3406
die dai suan fa 	迭代算法	c=1 d=1 t=3407
die jia 	疊加	c=1 d=1 t=1752
ding yi 	定義	c=4 d=1.49917 t=4764
ding yi le 	定義了	c=1 d=1 t=3178
ding yi wei 	定義爲	c=1 d=1 t=3221
diu dao 	丟到	c=1 d=1 t=6292
dong 	動	c=1 d=1 t=3333
dong 	棟	c=1 d=1 t=4375
dong li xue 	動力學	c=7 d=1.00058 t=3557
dong liang 	動量	c=11 d=4.42139 t=3850
dong tai 	動態	c=1 d=1 t=3486
dong xi 	東西	c=8 d=1.71571 t=6488
dong xi le 	東西了	c=1 d=1 t=6412
dou 	都	c=9 d=1.75306 t=6144
dou bu 	都不	c=0 d=0.1 t=5281
dou bu yong 	都不用	c=1 d=1 t=5282
dou ke yi 	都可以	c=4 d=1.18475 t=6236
dou mei you 	都沒有	c=1 d=1 t=4062
dou shi 	都是	c=6 d=1 t=6232
dou shi le ma 	都試了嗎	c=1 d=1 t=4918
dou shi zai 	都是在	c=2 d=1.01297 t=6170
dou you 	都有	c=3 d=1 t=6285
du 	度	c=0 d=0.1 t=5877
du li 	獨立	c=10 d=2.00311 t=6188
du li zu jian 	獨立組件	c=1 d=1 t=5550
du qu 	讀取	c=1 d=1 t=1160
du ru 	讀入	c=2 d=1.29671 t=4346
duan 	段	c=2 d=1.99501 t=2620
duan 	端	c=2 d=1.97045 t=692
duan kou 	端口	c=1 d=1 t=4430
dui 	對	c=13 d=1.65126 t=6080
dui bi 	對比	c=5 d=1.24411 t=4388
dui hua 	對話	c=1 d=1 t=6096
dui le 	對了	c=1 d=1 t=5262
dui ni 	對你	c=0 d=0.1 t=4812
dui ni de 	對你的	c=1 d=1 t=4813
dui qi 	對齊	c=1 d=1 t=2831
dui ying 	對應	c=2 d=1.58275 t=2531
dui yu 	對於	c=1 d=1 t=3371
dui zhao 	對照	c=1 d=1 t=2835
duo 	多	c=1 d=0.486741 t=4124
duo gao 	多高	c=1 d=1 t=981
duo ge 	多個	c=4 d=1.16032 t=3757
duo ge wen jian 	多個文件	c=1 d=1 t=3755
duo shao 	多少	c=1 d=1 t=1684
duo zhong 	多種	c=1 d=1 t=4147
en en 	嗯嗯	c=2 d=1.51171 t=6131
er 	而	c=7 d=1.01296 t=5480
er qie 	而且	c=2 d=1.01036 t=1457
fa 	發	c=0 d=0.190366 t=6076
fa bu 	發佈	c=4 d=1.00705 t=6338
fa dao 	發到	c=1 d=1 t=4493
fa gei ni 	發給你	c=1 d=0.1 t=4534
fa huo 	發貨	c=1 d=1 t=1762
fa sheng 	發生	c=3 d=0.100041 t=5497
fa sheng le 	發生了	c=2 d=1.25538 t=5771
fa song 	發送	c=1 d=1 t=4108
fa song dao 	發送到	c=1 d=1 t=6077
fa wo yi xia 	發我一下	c=1 d=1 t=4194
fa xian 	法線	c=2 d=1.00482 t=5473
fa xian 	發現	c=7 d=1.83432 t=6368
fa yi ci 	發一次	c=1 d=1 t=746
fa yi ge 	發一個	c=1 d=1 t=4529
fa yi xia gei wo 	發一下給我	c=1 d=1 t=4903
fan guang 	反光	c=3 d=2.90727 t=4272
fan hui 	返回	c=2 d=1.8781 t=2640
fan kun 	犯困	c=1 d=1 t=3933
fan she 	反射	c=1 d=1 t=2752
fan tan 	反彈	c=2 d=1.34994 t=3084
fan wei 	範圍	c=6 d=4.08625 t=3024
fan ying 	反映	c=0 d=0.1 t=4183
fang 	房	c=1 d=1 t=4376
fang 	放	c=2 d=1.21423 t=5014
fang 	方	c=4 d=1.00001 t=3396
fang an 	方案	c=1 d=1 t=4341
fang bian 	方便	c=1 d=1 t=4045
fang cuo 	放錯	c=1 d=1 t=4166
fang da 	放大	c=1 d=1 t=155
fang dao 	放到	c=2 d=1.00012 t=6016
fang fa 	方法	c=14 d=2.70374 t=6334
fang huan 	方環	c=1 d=1 t=1003
fang huo qiang 	防火牆	c=1 d=1 t=4422
fang jian 	房間	c=2 d=1.84366 t=4691
fang jin 	放進	c=2 d=1 t=4505
fang jin qu 	放進去	c=1 d=1 t=4703
fang mian 	方面	c=2 d=1 t=4983
fang na li 	放哪裏	c=1 d=1 t=5015
fang shi 	方式	c=1 d=1 t=4464
fang wen 	訪問	c=4 d=0.923116 t=6492
fang xiang 	方向	c=3 d=1.14526 t=3481
fang xing 	方形	c=1 d=1 t=874
fang zai 	放在	c=4 d=1.00105 t=6347
fang zhao 	仿照	c=1 d=1 t=4482
fang zhen 	仿真	c=34 d=1.29191 t=5956
fang zhen huan jing 	仿真環境	c=1 d=1 t=4353
fang zhen kong jian 	仿真空間	c=1 d=1 t=133
fang zhen ping tai 	仿真平臺	c=4 d=1.00966 t=6343
fang zhen xiao guo 	仿真效果	c=1 d=1 t=3671
fang zhi 	防止	c=1 d=1 t=3442
fei 	非	c=3 d=1.00018 t=3448
fei cui 	翡翠	c=2 d=1.99005 t=4373
fen bie 	分別	c=2 d=0.116911 t=4625
fen bie wei 	分別爲	c=2 d=1.00287 t=3593
fen bie zai 	分別在	c=1 d=1 t=4626
fen bu 	分部	c=1 d=1 t=1579
fen chuang 	分窗	c=1 d=1.05123 t=5382
fen chuang de 	分窗的	c=1 d=1 t=5383
fen gong 	分工	c=1 d=1 t=1256
fen lei 	分類	c=1 d=1 t=3903
fen lie 	分裂	c=1 d=1 t=1946
fen pei 	分配	c=4 d=0.100194 t=3134
fen pei yu 	分配於	c=1 d=1 t=3135
fen pian 	分片	c=1 d=1 t=2911
fen xi 	分析	c=8 d=3.05257 t=5922
fou ze 	否則	c=3 d=2.06122 t=3446
fu 	富	c=8 d=4.42544 t=4990
fu 	父	c=1 d=0.249234 t=3144
fu 	符	c=0 d=0.1 t=2734
fu gai 	覆蓋	c=5 d=1.00014 t=5253
fu hao 	符號	c=1 d=1 t=5194
fu jian 	附件	c=1 d=1 t=354
fu jin 	附近	c=1 d=1 t=1276
fu wu qi 	服務器	c=1 d=1 t=3742
fu yuan su 	父元素	c=1 d=1 t=3145
fu yuan su nei 	父元素內	c=1 d=1 t=2815
fu za 	複雜	c=4 d=1.67032 t=5828
fu za du 	複雜度	c=1 d=1 t=885
fu ze 	負責	c=5 d=4.00777 t=709
fu zhi 	複製	c=1 d=1 t=6424
fu zhi 	賦值	c=3 d=2.70437 t=2707
fu zhu 	輔助	c=3 d=1.09501 t=5562
fu zhu chuang kou 	輔助窗口	c=1 d=1 t=5563
ga 	噶	c=0 d=0.1 t=4471
ga ze bo 	噶則波	c=2 d=1.69073 t=4546
gai 	改	c=2 d=0.128911 t=6376
gai 	該	c=8 d=0.0895834 t=6492
gai bu fen 	該部分	c=1 d=0.900325 t=6492
gai cheng 	改成	c=1 d=1.00003 t=6394
gai dong 	改動	c=1 d=1 t=5614
gai le 	改了	c=1 d=1.06079 t=6381
gai nian 	概念	c=1 d=1 t=2298
gai shu 	概述	c=1 d=1 t=5004
gai wei 	改爲	c=5 d=1.02269 t=5847
gai zhi 	該值	c=1 d=1 t=3440
gan 	咁	c=1 d=1 t=737
gan 	趕	c=0 d=0.1 t=4704
gan da 	咁大	c=1 d=1 t=4747
gan jue 	感覺	c=1 d=1.09139 t=6078
gan jue shi 	感覺是	c=1 d=1 t=6061
gan te 	甘特	c=1 d=1.09501 t=418
gan te tu 	甘特圖	c=1 d=1 t=419
gang 	鋼	c=1 d=1 t=3038
gang du 	剛度	c=1 d=1 t=3291
gang gang 	剛剛	c=6 d=2.35113 t=6165
gang ti 	剛體	c=2 d=1.86502 t=3339
gang tie 	鋼鐵	c=1 d=1 t=3029
gao du 	高度	c=2 d=1.2019 t=2434
gao er fu 	高爾夫	c=1 d=1 t=805
gao liang 	高亮	c=1 d=1 t=3775
gao su 	告訴	c=1 d=1 t=6123
gao su 	高速	c=1 d=1 t=3309
gao zhi 	告知	c=1 d=1 t=6476
ge 	個	c=14 d=1.96126 t=4806
ge 	嘅	c=6 d=2.20871 t=4746
ge ge 	各個	c=2 d=1.00002 t=3880
ge ge 	嗰个	c=2 d=1.68386 t=6492
ge ren 	個人	c=2 d=1.00002 t=4021
ge shi 	格式	c=4 d=0.100205 t=5848
ge shi wei 	格式爲	c=1 d=1 t=2744
ge ti 	個體	c=1 d=1 t=2780
ge yi 	各異	c=1 d=1 t=1423
gei 	給	c=2 d=1.00001 t=5219
gei ni 	給你	c=2 d=0.10075 t=6055
gei ni fa 	給你發	c=1 d=1 t=6056
gei ni kan 	給你看	c=1 d=1 t=6255
gei wo 	給我	c=1 d=0.226325 t=4902
gei wo kan 	給我看	c=1 d=1 t=4591
gei wo yi xia 	給我一下	c=1 d=1 t=4410
gen 	跟	c=4 d=1.96079 t=5979
gen ju 	根據	c=8 d=2.48241 t=5600
gen xin 	跟新	c=1 d=1 t=5268
gen zhe 	跟着	c=1 d=1 t=5872
geng 	更	c=3 d=1.03439 t=5747
geng 	梗	c=1 d=1 t=4714
geng duo 	更多	c=1 d=1.09094 t=1354
geng duo wen ti 	更多問題	c=1 d=1 t=1336
